time,task,fatigue,skill_level,semaphore_state,sampling_rate,robot_active,collision,episode
0,Rest Period,28.398176229766655,2,GREEN,5.0,False,False,73
15,HMI Supervision,37.59566151926507,2,ORANGE,2.0,False,False,73
30,Material Delivery,50.50790940995726,3,RED,0.1,True,False,73
45,Packaging Preparation,65.39854463416187,4,RED,0.1,True,False,73
0,Rest Period,27.219707020281767,2,GREEN,5.0,False,False,74
15,HMI Supervision,38.06725172419285,2,ORANGE,2.0,False,False,74
30,Material Delivery,52.484737814666516,3,RED,0.1,True,False,74
45,Packaging Preparation,67.54698556504235,4,RED,0.1,True,False,74
0,Rest Period,27.18592051461835,2,GREEN,5.0,False,False,75
15,HMI Supervision,36.58671158801461,2,ORANGE,2.0,False,False,75
30,Material Delivery,49.47828566838528,3,RED,0.1,True,False,75
45,Packaging Preparation,64.58561690446788,4,RED,0.1,True,False,75
0,Rest Period,28.05891907693118,2,GREEN,5.0,False,False,76
15,HMI Supervision,37.18293647801179,2,ORANGE,2.0,False,False,76
30,Material Delivery,51.48977856469143,3,RED,0.1,True,False,76
45,Packaging Preparation,68.73896594807418,4,RED,0.1,True,False,76
0,Rest Period,26.904413475221194,2,GREEN,5.0,False,False,77
15,HMI Supervision,37.56987804760525,2,ORANGE,2.0,False,False,77
30,Material Delivery,50.63969169160954,3,RED,0.1,True,False,77
45,Packaging Preparation,66.27390714156988,4,RED,0.1,True,False,77
0,Rest Period,28.358644953694075,2,GREEN,5.0,False,False,78
15,HMI Supervision,38.333339733121704,2,ORANGE,2.0,False,False,78
30,Material Delivery,50.99068586918647,3,RED,0.1,True,False,78
45,Packaging Preparation,67.72553803987589,4,RED,0.1,True,False,78
0,Rest Period,28.08047812392189,2,GREEN,5.0,False,False,79
15,HMI Supervision,37.340893866714836,2,ORANGE,2.0,False,False,79
30,Material Delivery,51.38189604012435,3,RED,0.1,True,False,79
45,Packaging Preparation,66.69116681147187,4,RED,0.1,True,False,79
0,Rest Period,26.797385826199864,2,GREEN,5.0,False,False,80
15,HMI Supervision,36.26739632026292,2,ORANGE,2.0,False,False,80
30,Material Delivery,49.15653266803863,3,RED,0.1,True,False,80
45,Packaging Preparation,65.50696444394713,4,RED,0.1,True,False,80
0,Rest Period,28.804736932765152,2,GREEN,5.0,False,False,81
15,HMI Supervision,38.02444671182087,2,ORANGE,2.0,False,False,81
30,Material Delivery,52.21673343109913,3,RED,0.1,True,False,81
45,Packaging Preparation,68.0473605744964,4,RED,0.1,True,False,81
0,Rest Period,27.485655114134673,2,GREEN,5.0,False,False,82
15,HMI Supervision,37.828948769211195,2,ORANGE,2.0,False,False,82
30,Material Delivery,51.37745863446619,3,RED,0.1,True,False,82
45,Packaging Preparation,67.7669958046018,4,RED,0.1,True,False,82
0,Rest Period,27.010652253539256,2,GREEN,5.0,False,False,83
15,HMI Supervision,36.550027287592115,2,ORANGE,2.0,False,False,83
30,Material Delivery,49.62554928469526,3,RED,0.1,True,False,83
45,Packaging Preparation,64.62707852559143,4,RED,0.1,True,False,83
0,Rest Period,26.954410076176885,2,GREEN,5.0,False,False,84
15,HMI Supervision,36.824307698426104,2,ORANGE,2.0,False,False,84
30,Material Delivery,49.69189623547497,3,RED,0.1,True,False,84
45,Packaging Preparation,67.2488963262889,4,RED,0.1,True,False,84
0,Rest Period,28.87755810517762,2,GREEN,5.0,False,False,85
15,HMI Supervision,38.266042155831656,2,ORANGE,2.0,False,False,85
30,Material Delivery,53.41400116549762,3,RED,0.1,True,False,85
45,Packaging Preparation,69.693877898696,4,RED,0.1,True,False,85
0,Rest Period,28.753376555630958,2,GREEN,5.0,False,False,86
15,HMI Supervision,38.448971820803486,2,ORANGE,2.0,False,False,86
30,Material Delivery,52.42020477733312,3,RED,0.1,True,False,86
45,Packaging Preparation,67.23383098474596,4,RED,0.1,True,False,86
0,Rest Period,27.498325743957068,2,GREEN,5.0,False,False,87
15,HMI Supervision,36.85359480165822,2,ORANGE,2.0,False,False,87
30,Material Delivery,50.894519318477144,3,RED,0.1,True,False,87
45,Packaging Preparation,66.42001905147963,4,RED,0.1,True,False,87
0,Rest Period,26.910408672933926,2,GREEN,5.0,False,False,88
15,HMI Supervision,36.603339901333115,2,ORANGE,2.0,False,False,88
30,Material Delivery,49.868787328124014,3,RED,0.1,True,False,88
45,Packaging Preparation,66.75411875836991,4,RED,0.1,True,False,88
0,Rest Period,27.975813852115913,2,GREEN,5.0,False,False,89
15,HMI Supervision,37.722039067867335,2,ORANGE,2.0,False,False,89
30,Material Delivery,52.5944672155951,3,RED,0.1,True,False,89
45,Packaging Preparation,67.4384613029837,4,RED,0.1,True,False,89
0,Rest Period,29.194068592302912,2,GREEN,5.0,False,False,90
15,HMI Supervision,38.372726089710135,2,ORANGE,2.0,False,False,90
30,Material Delivery,52.53050607548209,3,RED,0.1,True,False,90
45,Packaging Preparation,67.42417540445248,4,RED,0.1,True,False,90
0,Rest Period,27.271247305324614,2,GREEN,5.0,False,False,91
15,HMI Supervision,36.646421559165915,2,ORANGE,2.0,False,False,91
30,Material Delivery,51.05732180490831,3,RED,0.1,True,False,91
45,Packaging Preparation,66.65416765894476,4,RED,0.1,True,False,91
0,Rest Period,27.76928173037308,2,GREEN,5.0,False,False,92
15,HMI Supervision,37.69694289659922,2,ORANGE,2.0,False,False,92
30,Material Delivery,51.54281949861742,3,RED,0.1,True,False,92
45,Packaging Preparation,68.38764560898319,4,RED,0.1,True,False,92
0,Rest Period,27.351075134333193,2,GREEN,5.0,False,False,93
15,HMI Supervision,37.16769648929335,2,ORANGE,2.0,False,False,93
30,Material Delivery,52.251753678884434,3,RED,0.1,True,False,93
45,Packaging Preparation,67.07199638955828,4,RED,0.1,True,False,93
0,Rest Period,28.383318018516402,2,GREEN,5.0,False,False,94
15,HMI Supervision,37.70825488456981,2,ORANGE,2.0,False,False,94
30,Material Delivery,51.99325787361036,3,RED,0.1,True,False,94
45,Packaging Preparation,69.30765306520394,4,RED,0.1,True,False,94
0,Rest Period,27.14087143610248,2,GREEN,5.0,False,False,95
15,HMI Supervision,36.685334607129555,2,ORANGE,2.0,False,False,95
30,Material Delivery,49.33389010004238,3,RED,0.1,True,False,95
45,Packaging Preparation,66.22638248127001,4,RED,0.1,True,False,95
0,Rest Period,27.63783336414852,2,GREEN,5.0,False,False,96
15,HMI Supervision,36.90520315542849,2,ORANGE,2.0,False,False,96
30,Material Delivery,49.81589652333472,3,RED,0.1,True,False,96
45,Packaging Preparation,66.82021464748709,4,RED,0.1,True,False,96
0,Rest Period,27.343346141557195,2,GREEN,5.0,False,False,97
15,HMI Supervision,37.83561958001481,2,ORANGE,2.0,False,False,97
30,Material Delivery,52.32673574007802,3,RED,0.1,True,False,97
45,Packaging Preparation,67.58001071916934,4,RED,0.1,True,False,97
0,Rest Period,27.218970040851723,2,GREEN,5.0,False,False,98
15,HMI Supervision,37.43658754833162,2,ORANGE,2.0,False,False,98
30,Material Delivery,51.280583740498756,3,RED,0.1,True,False,98
45,Packaging Preparation,66.21784174450137,4,RED,0.1,True,False,98
0,Rest Period,28.065369451888458,2,GREEN,5.0,False,False,99
15,HMI Supervision,37.14677092136834,2,ORANGE,2.0,False,False,99
30,Material Delivery,52.30238092949762,3,RED,0.1,True,False,99
45,Packaging Preparation,68.98363007414245,4,RED,0.1,True,False,99
0,Rest Period,28.59089283555797,2,GREEN,5.0,False,False,100
15,HMI Supervision,38.794232439493264,2,ORANGE,2.0,False,False,100
30,Material Delivery,52.53255701242692,3,RED,0.1,True,False,100
45,Packaging Preparation,69.97687512983546,4,RED,0.1,True,False,100
0,Rest Period,27.921690759364786,2,GREEN,5.0,False,False,101
15,HMI Supervision,38.94622156927908,2,ORANGE,2.0,False,False,101
30,Material Delivery,51.84903044983619,3,RED,0.1,True,False,101
45,Packaging Preparation,69.08639777205562,4,RED,0.1,True,False,101
0,Rest Period,28.288228887294267,2,GREEN,5.0,False,False,102
15,HMI Supervision,37.44329978132655,2,ORANGE,2.0,False,False,102
